人民幣	人民幣 ￥
調皮	調皮 😜
傻瓜	傻瓜 🤪
傻瓜臉	傻瓜臉 🤪
眯眼	眯眼 😝
眯眼吐舌	眯眼吐舌 😝
開玩笑	開玩笑 😝
嘲笑	嘲笑 😝
發財	發財 🤑
財迷	財迷 🤑
拜金	拜金 🤑
見錢眼開	見錢眼開 🤑
錢眼	錢眼 🤑
錢眼兒	錢眼兒 🤑
抱抱	抱抱 🤗 🫂
擁抱	擁抱 🤗 🫂
捂嘴	捂嘴 🤭 🙊
捂着嘴	捂着嘴 🤭
捂嘴笑	捂嘴笑 🤭
捂着嘴笑	捂着嘴笑 🤭
好笑	好笑 🤭
不敢相信	不敢相信 🫢
unbelievable	unbelievable 🫢
偷看	偷看 🫣
偷偷看	偷偷看 🫣
偷瞧	偷瞧 🫣
偷偷瞧	偷偷瞧 🫣
單眼偷看	單眼偷看 🫣
不敢看	不敢看 🫣
我不敢看	我不敢看 🫣
畫面太美我不敢看	畫面太美我不敢看 🫣
那畫面太美我不敢看	那畫面太美我不敢看 🫣
噓	噓 🤫
安靜	安靜 🤫
安靜的臉	安靜的臉 🤫
小聲	小聲 🤫
小點聲	小點聲 🤫
小點兒聲	小點兒聲 🤫
小聲點	小聲點 🤫
小聲點兒	小聲點兒 🤫
別說話	別說話 🤫
深思的臉	深思的臉 🤔
深思	深思 🤔
思考	思考 🤔
奇怪	奇怪 🤔
奇怪了	奇怪了 🤔
想一想	想一想 🤔
想想	想想 🤔
我想想	我想想 🤔
我再想想	我再想想 🤔
容我三思	容我三思 🤔
呃	呃 🤔
疑問	疑問 🤔
可能	可能 🤔
不理解	不理解 🤔
不明白	不明白 🤔
敬禮	敬禮 🫡
致敬	致敬 🫡
尊敬	尊敬 🫡
尊重	尊重 🫡
瑞思拜	瑞思拜 🫡
respect	respect 🫡
閉嘴	閉嘴 🤐
祕密	祕密 🤐 ㊙️
保密	保密 🤐
守密	守密 🤐
不說	不說 🤐 🙊
不能說	不能說 🤐
不要說	不要說 🤐
拉上拉鍊	拉上拉鍊 🤐
封口	封口 🤐
禁言	禁言 🤐
挑眉	挑眉 🤨
眉毛上挑	眉毛上挑 🤨
眉毛上挑的臉	眉毛上挑的臉 🤨
平靜	平靜 😐
面無表情	面無表情 😑
沒有嘴	沒有嘴 😶
沒有嘴巴	沒有嘴巴 😶
沉默	沉默 😶
隱形	隱形 🫥
隱藏	隱藏 🫥
虛線臉	虛線臉 🫥
虛線輪廓	虛線輪廓 🫥
雲中	雲中 😶‍🌫️
雲中的臉	雲中的臉 😶‍🌫️
得意	得意 😏
得意地笑	得意地笑 😏
鬱悶	鬱悶 😒
鄙視	鄙視 😒
白眼	白眼 🙄
白眼兒	白眼兒 🙄
翻白眼	翻白眼 🙄
翻白眼兒	翻白眼兒 🙄
咬牙切齒	咬牙切齒 😬
齜牙咧嘴	齜牙咧嘴 😬
呼氣	呼氣 😮‍💨 🫁
嘆氣	嘆氣 😮‍💨
唉	唉 😮‍💨
無奈	無奈 😮‍💨
長鼻子	長鼻子 🤥
匹諾曹	匹諾曹 🤥
說謊	說謊 🤥
撒謊	撒謊 🤥
亂講	亂講 🤥
胡說	胡說 🤥
騙人	騙人 🤥
騙人布	騙人布 🤥
搖頭	搖頭 🫨
晃腦	晃腦 🫨
搖頭晃腦	搖頭晃腦 🫨
顫抖的臉	顫抖的臉 🫨
猛搖頭	猛搖頭 🫨
如釋重負	如釋重負 😌
鬆了口氣	鬆了口氣 😌
鬆口氣	鬆口氣 😌
釋然	釋然 😌
低頭憂傷	低頭憂傷 😔
心事重重	心事重重 😔
憂慮	憂慮 😔
憂傷	憂傷 😔
困	困 😪 🥱
困了	困了 😪 🥱
睏倦	睏倦 😪 🥱
瞌睡	瞌睡 😪
打瞌睡	打瞌睡 😪
口水	口水 🤤
流口水	流口水 🤤
垂涎三尺	垂涎三尺 🤤
睡覺	睡覺 😴 💤 🛌
睡着	睡着 😴 💤
睡着了	睡着了 😴 💤
睡了	睡了 😴 💤
睡眠	睡眠 😴 💤
口罩	口罩 😷
戴口罩	戴口罩 😷
感冒	感冒 😷 🤧
生病	生病 😷
體溫計	體溫計 🤒
量體溫	量體溫 🤒
發燒	發燒 🤒
受傷	受傷 🤕 ❤️‍🩹
繃帶	繃帶 🤕
纏繃帶	纏繃帶 🤕
纏滿繃帶	纏滿繃帶 🤕
噁心	噁心 🤢
想吐	想吐 🤢
反胃	反胃 🤢
吐	吐 🤮
吐了	吐了 🤮
嘔吐	嘔吐 🤮
吐出來	吐出來 🤮
噴嚏	噴嚏 🤧
打噴嚏	打噴嚏 🤧
鼻涕	鼻涕 🤧
擤鼻涕	擤鼻涕 🤧
擤鼻子	擤鼻子 🤧
鼻炎	鼻炎 🤧
發熱	發熱 🥵
臉發燒	臉發燒 🥵
辣	辣 🥵
辣死	辣死 🥵
辣死了	辣死了 🥵
熱死	熱死 🥵
熱死了	熱死了 🥵
爆辣	爆辣 🥵
冷	冷 🥶
冰冷	冰冷 🥶
好冷	好冷 🥶
很冷	很冷 🥶
冷冰冰	冷冰冰 🥶
冷臉	冷臉 🥶
凍僵	凍僵 🥶
凍僵了	凍僵了 🥶
滿面寒霜	滿面寒霜 🥶
微醺	微醺 🥴
醉了	醉了 🥴
喝醉	喝醉 🥴
喝醉了	喝醉了 🥴
喝多	喝多 🥴
喝多了	喝多了 🥴
暈	暈 😵 😵‍💫
暈了	暈了 😵 😵‍💫
我暈	我暈 😵 😵‍💫
頭暈	頭暈 😵 😵‍💫
暈頭	暈頭 😵 😵‍💫
頭暈目眩	頭暈目眩 😵 😵‍💫 💫
暈頭轉向	暈頭轉向 😵 😵‍💫
頭暈眼花	頭暈眼花 😵 😵‍💫
爆炸頭	爆炸頭 🤯
爆炸腦	爆炸腦 🤯
頭爆炸	頭爆炸 🤯
腦子爆炸	腦子爆炸 🤯
腦袋爆炸	腦袋爆炸 🤯
腦爆炸	腦爆炸 🤯
大腦爆炸	大腦爆炸 🤯
爆頭	爆頭 🤯
牛仔	牛仔 🤠
牛仔帽	牛仔帽 🤠
牛仔帽臉	牛仔帽臉 🤠
派對	派對 🥳
派對臉	派對臉 🥳
慶祝	慶祝 🥳 🎉
開趴	開趴 🥳
開淫趴	開淫趴 🥳
開銀趴	開銀趴 🥳
party	party 🥳
開party	開party 🥳
僞裝	僞裝 🥸
僞裝的臉	僞裝的臉 🥸
隱瞞身份	隱瞞身份 🥸
太陽鏡	太陽鏡 😎 🕶
墨鏡	墨鏡 😎 🕶
墨鏡笑臉	墨鏡笑臉 😎
自信	自信 😎
書呆子	書呆子 🤓
書呆子臉	書呆子臉 🤓
單片眼鏡	單片眼鏡 🧐
帶單片眼鏡的臉	帶單片眼鏡的臉 🧐
探究	探究 🧐
研究	研究 🧐
不懂	不懂 😕
困惑	困惑 😕
困擾	困擾 😕
疑惑	疑惑 😕
撇嘴	撇嘴 🫤
不確定	不確定 🫤
擔心	擔心 😟
擔憂	擔憂 😟
不開心	不開心 🙁
不高興	不高興 🙁
不滿	不滿 🙁
微微不滿	微微不滿 🙁
心情不好	心情不好 🙁
不悅	不悅 🙁
一臉不悅	一臉不悅 🙁
喫驚	喫驚 😮 😯 😲 😦 😧
驚訝	驚訝 😮 😯 😲 😦 😧
哦	哦 😮
好奇	好奇 😯
震驚	震驚 😲 😦 😧
啊	啊 😲 😦 😧
害羞	害羞 😳
羞澀	羞澀 😳
愣住	愣住 😳
可憐	可憐 🥺
可憐兮兮	可憐兮兮 🥺
好嘛	好嘛 🥺
求你了	求你了 🥺 🙏
求求你	求求你 🥺 🙏
求求你了	求求你了 🥺 🙏
忍住淚水	忍住淚水 🥹
強忍淚水	強忍淚水 🥹
要哭了	要哭了 🥹
含淚	含淚 🥹
目瞪口呆	目瞪口呆 😦
怕	怕 😨 😱
可怕	可怕 😨 😱
害怕	害怕 😨 😱
恐懼	恐懼 😨 😱
焦慮	焦慮 😰
冒汗焦慮	冒汗焦慮 😰
緊張	緊張 😰
失望但如釋重負	失望但如釋重負 😥
難過但釋然	難過但釋然 😥
哭	哭 😢 😭
哭了	哭了 😢 😭
哭泣	哭泣 😢 😭
流淚	流淚 😢
流眼淚	流眼淚 😢
大哭	大哭 😭
放聲大哭	放聲大哭 😭
痛哭	痛哭 😭
嚇死	嚇死 😱
嚇死了	嚇死了 😱
嚇人	嚇人 😱
尖叫	尖叫 😱
恐怖	恐怖 😱
恐懼尖叫	恐懼尖叫 😱
驚聲尖叫	驚聲尖叫 😱
焦頭爛額	焦頭爛額 😖
糾結	糾結 😖
忍耐	忍耐 😣
失望	失望 😞
難過	難過 😞
倒黴	倒黴 😓
疲倦	疲倦 😩
疲勞	疲勞 😩
疲憊	疲憊 😩
抓狂	抓狂 😫
呵欠	呵欠 🥱
哈欠	哈欠 🥱
打哈欠	打哈欠 🥱
打呵欠	打呵欠 🥱
傲慢	傲慢 😤
趾高氣昂	趾高氣昂 😤
鼻子冒氣	鼻子冒氣 😤
怒	怒 😡 😠 💢
憤怒	憤怒 😡 😠 💢
生氣	生氣 😡 😠 💢
發火	發火 😡
發飆	發飆 😡
怒火中燒	怒火中燒 😡
煩死	煩死 😡
煩死人	煩死人 😡
煩死了	煩死了 😡
angry	angry 😡 😠 💢
微怒	微怒 😠
罵人	罵人 🤬
咒罵	咒罵 🤬
髒話	髒話 🤬
你媽死了	你媽死了 🤬
肏你媽	肏你媽 🤬
操你媽	操你媽 🤬
傻逼	傻逼 🤬
出口成髒	出口成髒 🤬
惡魔	惡魔 😈 👿
魔鬼	魔鬼 😈 👿
微笑惡魔	微笑惡魔 😈
惡魔微笑	惡魔微笑 😈
微笑的惡魔	微笑的惡魔 😈
生氣惡魔	生氣惡魔 👿
惡魔生氣	惡魔生氣 👿
生氣的惡魔	生氣的惡魔 👿
頭骨	頭骨 💀 ☠️
骷髏	骷髏 💀 ☠️
骷髏頭	骷髏頭 💀 ☠️
死亡	死亡 💀 ☠️
屎	屎 💩
拉屎	拉屎 💩
大便	大便 💩
拉大便	拉大便 💩
便便	便便 💩
拉便便	拉便便 💩
粑粑	粑粑 💩
拉粑粑	拉粑粑 💩
小丑	小丑 🤡
小丑臉	小丑臉 🤡
怪物	怪物 👹
妖怪	妖怪 👺
鬼	鬼 👻
鬼魂	鬼魂 👻
幽靈	幽靈 👻
外星人	外星人 👽
怪獸	怪獸 👾
異形怪獸	異形怪獸 👾
外星怪物	外星怪物 👾
機器人	機器人 🤖
開心貓	開心貓 😺
開心的貓	開心的貓 😺
開心貓臉	開心貓臉 😺
微笑貓	微笑貓 😸
微笑的貓	微笑的貓 😸
微笑貓臉	微笑貓臉 😸
笑中帶淚	笑中帶淚 😹
喜極而泣	喜極而泣 😹
笑出眼淚的貓	笑出眼淚的貓 😹
花癡貓	花癡貓 😻
花癡的貓	花癡的貓 😻
花癡貓臉	花癡貓臉 😻
得意貓	得意貓 😼
得意的貓	得意的貓 😼
得意貓臉	得意貓臉 😼
親親貓	親親貓 😽
親親的貓	親親的貓 😽
親親貓臉	親親貓臉 😽
恐懼貓	恐懼貓 🙀
恐懼的貓	恐懼的貓 🙀
恐懼貓臉	恐懼貓臉 🙀
害怕貓	害怕貓 🙀
害怕的貓	害怕的貓 🙀
害怕貓臉	害怕貓臉 🙀
哭泣貓	哭泣貓 😿
哭泣的貓	哭泣的貓 😿
哭泣貓臉	哭泣貓臉 😿
生氣貓	生氣貓 😾
生氣的貓	生氣的貓 😾
生氣貓臉	生氣貓臉 😾
噘嘴貓	噘嘴貓 😾
噘嘴的貓	噘嘴的貓 😾
噘嘴貓臉	噘嘴貓臉 😾
非禮勿視	非禮勿視 🙈
不看	不看 🙈
矇眼	矇眼 🙈
矇眼睛	矇眼睛 🙈
矇住眼睛	矇住眼睛 🙈
我不看	我不看 🙈
非禮勿聽	非禮勿聽 🙉
不聽	不聽 🙉
堵耳	堵耳 🙉
堵耳朵	堵耳朵 🙉
堵上耳朵	堵上耳朵 🙉
堵住耳朵	堵住耳朵 🙉
堵着耳朵	堵着耳朵 🙉
捂耳	捂耳 🙉
捂耳朵	捂耳朵 🙉
捂上耳朵	捂上耳朵 🙉
捂住耳朵	捂住耳朵 🙉
捂着耳朵	捂着耳朵 🙉
我不聽	我不聽 🙉
非禮勿言	非禮勿言 🙊
捂嘴巴	捂嘴巴 🙊
捂上嘴巴	捂上嘴巴 🙊
捂住嘴巴	捂住嘴巴 🙊
捂着嘴巴	捂着嘴巴 🙊
情書	情書 💌
一箭穿心	一箭穿心 💘
丘比特	丘比特 💘
心中箭了	心中箭了 💘
愛的禮物	愛的禮物 💝
繫有緞帶的心	繫有緞帶的心 💝
飾以絲帶的心	飾以絲帶的心 💝
送你一顆心	送你一顆心 💝
閃亮的心	閃亮的心 💖
愛心	愛心 💖 ♥️
膨脹的心	膨脹的心 💗
膨脹的愛心	膨脹的愛心 💗
搏動的心	搏動的心 💗
心動	心動 💓
心跳	心跳 💓
愛情	愛情 💓 💕 👩‍❤️‍👨
love	love 💓 💕 👩‍❤️‍👨 ♥️
旋轉的心	旋轉的心 💞
舞動的心	舞動的心 💞
心連心	心連心 💞
兩顆心	兩顆心 💕
粉色的心	粉色的心 💕 🩷
心型裝飾	心型裝飾 💟
心歎號	心歎號 ❣️
傷心	傷心 💔
心碎	心碎 💔
失戀	失戀 💔
火上之心	火上之心 ❤️‍🔥
心火	心火 ❤️‍🔥
燃燒的心	燃燒的心 ❤️‍🔥
心在燃燒	心在燃燒 ❤️‍🔥
心在着火	心在着火 ❤️‍🔥
愛火	愛火 ❤️‍🔥
修復受傷的心靈	修復受傷的心靈 ❤️‍🩹
治癒的心	治癒的心 ❤️‍🩹
受傷的心	受傷的心 ❤️‍🩹
受傷的心靈	受傷的心靈 ❤️‍🩹
心傷	心傷 ❤️‍🩹
粉心	粉心 🩷
粉色心	粉色心 🩷
粉紅心	粉紅心 🩷
橙心	橙心 🧡
橙色心	橙色心 🧡
橙色的心	橙色的心 🧡
橘心	橘心 🧡
橘色心	橘色心 🧡
橘色的心	橘色的心 🧡
黃心	黃心 💛
黃色心	黃色心 💛
黃色的心	黃色的心 💛
綠心	綠心 💚
綠色心	綠色心 💚
綠色的心	綠色的心 💚
藍心	藍心 💙 🩵
藍色心	藍色心 💙 🩵
藍色的心	藍色的心 💙 🩵
淡藍心	淡藍心 🩵
淡藍色心	淡藍色心 🩵
淡藍色的心	淡藍色的心 🩵
紫心	紫心 💜
紫色心	紫色心 💜
紫色的心	紫色的心 💜
棕心	棕心 🤎
棕色心	棕色心 🤎
棕色的心	棕色的心 🤎
黑心	黑心 🖤
黑色心	黑色心 🖤
黑色的心	黑色的心 🖤
灰心	灰心 🩶
灰色心	灰色心 🩶
灰色的心	灰色的心 🩶
白心	白心 🤍
白色心	白色心 🤍
白色的心	白色的心 🤍
親	親 💋
吻	吻 💋
親吻	親吻 💋
親嘴	親嘴 💋
脣	脣 💋 👄
脣印	脣印 💋
紅脣	紅脣 💋 👄
吻痕	吻痕 💋
kiss	kiss 💋
一百分	一百分 💯
滿分	滿分 💯
火大	火大 💢
青筋	青筋 💢
生氣符號	生氣符號 💢
爆炸	爆炸 💥
水珠	水珠 💦 💧
水滴	水滴 💦 💧
陣風	陣風 💨
坑	坑 🕳
洞	洞 🕳
下水道	下水道 🕳
對話氣泡	對話氣泡 💬 🗨 🗯
對話框	對話框 💬 🗨 🗯 💭
證人	證人 👁️‍🗨️
我是證人	我是證人 👁️‍🗨️
朝左的對話氣泡	朝左的對話氣泡 🗨
憤怒對話氣泡	憤怒對話氣泡 🗯
憤怒對話框	憤怒對話框 🗯
思考氣泡	思考氣泡 💭
內心活動氣泡	內心活動氣泡 💭
睡眠符號	睡眠符號 💤
ZZZ	ZZZ 💤
揮手	揮手 👋
擺手	擺手 👋
你好	你好 👋
再見	再見 👋
拜拜	拜拜 👋
手背	手背 🤚
手指張開	手指張開 🖐
手指張開的手	手指張開的手 🖐
舉起的手	舉起的手 ✋
手掌	手掌 ✋
擊掌	擊掌 ✋
手	手 ✋
瓦肯舉手禮	瓦肯舉手禮 🖖
瓦肯	瓦肯 🖖
斯波克	斯波克 🖖
星際迷航	星際迷航 🖖
右手	右手 🫱 🫸
向右的手	向右的手 🫱
向右伸的手	向右伸的手 🫱
朝右	朝右 🫱
左手	左手 🫲 🫷
向左的手	向左的手 🫲
向左伸的手	向左伸的手 🫲
朝左	朝左 🫲
手掌朝下	手掌朝下 🫳
掌心朝下	掌心朝下 🫳
朝下	朝下 🫳
放手	放手 🫳
手掌朝上	手掌朝上 🫴
掌心朝上	掌心朝上 🫴
朝上	朝上 🫴
伸手	伸手 🫴
抬起	抬起 🫴
左推	左推 🫷
向左推	向左推 🫷
推手	推手 🫷 🫸
向左推手	向左推手 🫷
向左推的手	向左推的手 🫷
右推	右推 🫸
向右推	向右推 🫸
向右推手	向右推手 🫸
向右推的手	向右推的手 🫸
OK	OK 👌 🙆‍♂️ 🙆‍♀️ 🆗
好	好 👌 👍 🙆‍♂️ 🙆‍♀️
好的	好的 👌 🙆‍♂️ 🙆‍♀️
好噠	好噠 👌
沒問題	沒問題 👌
手指捏和	手指捏和 🤌
捏合	捏合 🤌
蘭花指	蘭花指 🤌
捏手指	捏手指 🤌
一點	一點 🤏 🕐
一點兒	一點兒 🤏
一點點	一點點 🤏
少量	少量 🤏
少許	少許 🤏
和平手勢	和平手勢 ✌️
耶	耶 ✌️
哦耶	哦耶 ✌️
成功	成功 ✌️
勝利	勝利 ✌️
贏了	贏了 ✌️
剪刀手	剪刀手 ✌️
贏啦	贏啦 ✌️
贏咯	贏咯 ✌️
兩個	兩個 ✌️
第二	第二 ✌️
手指交叉	手指交叉 🤞
交叉的手指	交叉的手指 🤞
食指和拇指交叉的手	食指和拇指交叉的手 🫰
響指	響指 🫰
打響指	打響指 🫰
比心	比心 🫰 🫶
比心手勢	比心手勢 🫰 🫶
愛你手勢	愛你手勢 🤟
愛你的手勢	愛你的手勢 🤟
愛你	愛你 🤟
我愛你	我愛你 🤟
搖滾	搖滾 🤘
搖滾手勢	搖滾手勢 🤘
金屬禮	金屬禮 🤘
打電話	打電話 🤙
回電話	回電話 🤙
打給我	打給我 🤙
給我打電話	給我打電話 🤙
打電話給我	打電話給我 🤙
反手食指向左指	反手食指向左指 👈
向左指	向左指 👈
向左	向左 👈
往左	往左 👈
往左指	往左指 👈
左面	左面 👈
左邊	左邊 👈
反手食指向右指	反手食指向右指 👉
向右指	向右指 👉
向右	向右 👉
往右	往右 👉
往右指	往右指 👉
右面	右面 👉
右邊	右邊 👉
反手食指向上指	反手食指向上指 👆
向上指	向上指 👆
向上	向上 👆
往上	往上 👆
往上指	往上指 👆
上面	上面 👆
上邊	上邊 👆
反手食指向下指	反手食指向下指 👇
向下指	向下指 👇
向下	向下 👇
往下	往下 👇
往下指	往下指 👇
下面	下面 👇
下邊	下邊 👇
中指	中指 🖕
豎中指	豎中指 🖕
比中指	比中指 🖕
舉中指	舉中指 🖕
食指	食指 ☝️
一個	一個 ☝️
第一	第一 ☝️
食指指向觀察者	食指指向觀察者 🫵
指向觀察者的食指	指向觀察者的食指 🫵
你	你 🫵
你自己	你自己 🫵
就是你	就是你 🫵
指着	指着 🫵
指着你	指着你 🫵
拇指	拇指 👍 👎
大拇指	大拇指 👍 👎
大拇指向上	大拇指向上 👍
拇指向上	拇指向上 👍 👎
大拇指朝上	大拇指朝上 👍
拇指朝上	拇指朝上 👍
強	強 👍
棒	棒 👍
棒啊	棒啊 👍
真棒	真棒 👍
好棒	好棒 👍
很棒	很棒 👍
特棒	特棒 👍
非常棒	非常棒 👍
棒棒	棒棒 👍
棒棒的	棒棒的 👍
棒棒噠	棒棒噠 👍
太棒	太棒 👍
太棒了	太棒了 👍
太棒啦	太棒啦 👍
幹得好	幹得好 👍
很好	很好 👍
不錯	不錯 👍
表揚	表揚 👍
牛逼	牛逼 👍
厲害	厲害 👍
贊	贊 👍
點贊	點贊 👍
大拇指向下	大拇指向下 👎
大拇指朝下	大拇指朝下 👎
拇指朝下	拇指朝下 👎
不好	不好 👎
不強	不強 👎
不棒	不棒 👎
垃圾	垃圾 👎
太差	太差 👎
太差了	太差了 👎
太差啦	太差啦 👎
差勁	差勁 👎
舉起拳頭	舉起拳頭 ✊
舉起的拳頭	舉起的拳頭 ✊
握拳	握拳 ✊
握緊的拳頭	握緊的拳頭 👊
拳頭	拳頭 👊
出拳	出拳 👊
打擊	打擊 👊
重拳出擊	重拳出擊 👊
打你	打你 👊
揍你	揍你 👊
幹你	幹你 👊
左向拳	左向拳 🤛
朝左的拳頭	朝左的拳頭 🤛
右鉤拳	右鉤拳 🤛
右拳	右拳 🤛
右向拳	右向拳 🤜
朝右的拳頭	朝右的拳頭 🤜
左鉤拳	左鉤拳 🤜
左拳	左拳 🤜
鼓掌	鼓掌 👏
拍手	拍手 👏
拍掌	拍掌 👏
啪啪啪	啪啪啪 👏
揚手歡呼	揚手歡呼 🙌
舉雙手	舉雙手 🙌
做成心形的雙手	做成心形的雙手 🫶
雙手張開	雙手張開 👐
張開雙手	張開雙手 👐
雙手手掌向上	雙手手掌向上 🤲
掌心向上托起	掌心向上托起 🤲
雙手	雙手 🤲
捧着	捧着 🤲
握手	握手 🤝
合作	合作 🤝
合作愉快	合作愉快 🤝
搞定	搞定 🤝
雙手合十	雙手合十 🙏
合十	合十 🙏
合掌	合掌 🙏
拜託	拜託 🙏
祈求	祈求 🙏
祈禱	祈禱 🙏
謝謝	謝謝 🙏
寫字	寫字 ✍️
手寫	手寫 ✍️
指甲油	指甲油 💅
塗指甲油	塗指甲油 💅
美甲	美甲 💅
做指甲	做指甲 💅
做美甲	做美甲 💅
自拍	自拍 🤳
二頭肌	二頭肌 💪
肱二頭肌	肱二頭肌 💪
肱二頭	肱二頭 💪
強壯	強壯 💪
肌肉	肌肉 💪
秀肌肉	秀肌肉 💪
健身	健身 💪
奮鬥	奮鬥 💪
努力	努力 💪
義肢	義肢 🦾 🦿
義體	義體 🦾 🦿
賽博朋克	賽博朋克 🦾 🦿
機械手臂	機械手臂 🦾
機械臂	機械臂 🦾
機械腿	機械腿 🦿
腿	腿 🦵
腿兒	腿兒 🦵
大腿	大腿 🦵
練腿	練腿 🦵
腳	腳 🦶
踢	踢 🦶
踩	踩 🦶
腳丫	腳丫 🦶
腳丫子	腳丫子 🦶
聽	聽 👂
耳	耳 👂
耳朵	耳朵 👂
助聽器	助聽器 🦻
聽力障礙	聽力障礙 🦻
戴助聽器的耳朵	戴助聽器的耳朵 🦻
嗅	嗅 👃
聞	聞 👃
鼻	鼻 👃
鼻子	鼻子 👃
呼吸	呼吸 👃
大腦	大腦 🧠
頭腦	頭腦 🧠
腦花	腦花 🧠
腦子	腦子 🧠
腦	腦 🧠
心臟	心臟 🫀
心臟器官	心臟器官 🫀
肺	肺 🫁
吸氣	吸氣 🫁
呼吸作用	呼吸作用 🫁
牙	牙 🦷
牙齒	牙齒 🦷
骨頭	骨頭 🦴
骨骼	骨骼 🦴
眼	眼 👀 👁
眼睛	眼睛 👀 👁
注視	注視 👀
觀察	觀察 👀
看	看 👀
看看	看看 👀
單眼	單眼 👁
一隻眼	一隻眼 👁
一隻眼睛	一隻眼睛 👁
舌	舌 👅
舌頭	舌頭 👅
口	口 👄
嘴	嘴 👄
嘴脣	嘴脣 👄
嘴巴	嘴巴 👄
咬嘴脣	咬嘴脣 🫦
咬住嘴脣	咬住嘴脣 🫦
調情	調情 🫦
情調	情調 🫦
誘惑	誘惑 🫦
嬰兒	嬰兒 👶 🚼
寶寶	寶寶 👶 🚼
小寶貝	小寶貝 👶
小寶貝兒	小寶貝兒 👶
baby	baby 👶 🚼
乖寶	乖寶 👶
乖寶寶	乖寶寶 👶
兒童	兒童 🧒
小孩	小孩 🧒
小孩兒	小孩兒 🧒
孩子	孩子 🧒
小孩子	小孩子 🧒
小朋友	小朋友 🧒
小盆友	小盆友 🧒
男孩	男孩 👦
小男孩	小男孩 👦
兒子	兒子 👦
女孩	女孩 👧
小女孩	小女孩 👧
女兒	女兒 👧
金髮	金髮 👱 👱‍♀️ 👱‍♂️
金色頭髮	金色頭髮 👱 👱‍♀️ 👱‍♂️
金髮女	金髮女 👱 👱‍♀️
金髮女子	金髮女子 👱 👱‍♀️
金髮女人	金髮女人 👱 👱‍♀️
男人	男人 👨
成年男人	成年男人 👨
成年男性	成年男性 👨
爸爸	爸爸 👨
父親	父親 👨
老爹	老爹 👨
有鬍鬚的人	有鬍鬚的人 🧔
有鬍子的人	有鬍子的人 🧔
絡腮鬍	絡腮鬍 🧔
鬍子	鬍子 🧔
鬍鬚	鬍鬚 🧔
大叔	大叔 🧔
長鬍子的女人	長鬍子的女人 🧔‍♀️
鬍子女	鬍子女 🧔‍♀️
紅髮	紅髮 👨‍🦰 👩‍🦰 🦰
紅色頭髮	紅色頭髮 👨‍🦰 👩‍🦰 🦰
紅髮男	紅髮男 👨‍🦰 👨‍🦱
紅髮男子	紅髮男子 👨‍🦰 👨‍🦱
紅髮男人	紅髮男人 👨‍🦰 👨‍🦱
